date,place,topic,url,archive_url
2021-12-17,DataJournalism Blog,An interview about the design and development of the Reuters COVID-19 and Vaccination tracker.,https://datajournalism.com/read/blog/best-data-journalism-projects-2021#vaccination-tracker-reuters,http://web.archive.org/web/20260501135114/https://datajournalism.com/read/blog/best-data-journalism-projects-2021
2021-06-21,Flowing Data,Features a graphic on India's vaccine procurement compared to other countries.,https://flowingdata.com/2021/06/21/india-vaccine-procurement-compared-to-other-countries/,http://web.archive.org/web/20260525021935/https://flowingdata.com/2021/06/21/india-vaccine-procurement-compared-to-other-countries/
2024-05-01,The Visualising Data Newsletter,Mentions a Reuters visual story on how election pollsters make sense of the numbers.,https://visualisingdata.ck.page/posts/the-visualising-data-newsletter-issue-4-may-2024#:~:text=18.%20What%20Polling%20Can%27t%20Tell%20you%20%7C%20Reuters,https://web.archive.org/web/20260525022812/https://visualisingdata.kit.com/posts/the-visualising-data-newsletter-issue-4-may-2024
2023-05-23,DataWrapper Data Vis Dispatch,Features visualisations from a Reuters investigation on the public health risks of increasing human-bat contact.,https://blog.datawrapper.de/data-vis-dispatch-may-23-2023/#:~:text=Reuters%3A%20Deep%20in%20the%20Amazon%2C%20scientists%20race%20against%20time%20to%20identify%20unknown%20pathogens%2C%20May%2016,http://web.archive.org/web/20250118225435/https://blog.datawrapper.de/data-vis-dispatch-may-23-2023/
2020-03-10,Lines of Inquiry,Features my graduation project on Delhi's winter air pollution.,https://www.scribd.com/document/664184751/Lines-of-Inquiry-2020#page=55https://www.scribd.com/document/664184751/Lines-of-Inquiry-2020#page=55,https://web.archive.org/web/20260525022650/https://www.scribd.com/document/664184751/Lines-of-Inquiry-2020
2025-12-19,Global Investigative Journalism Network,Features a Reuters investigation on Iran’s sanctioned oil fleet in the Best of Data Journalism from 2025.,https://gijn.org/stories/2025-editors-picks-data-journalism/#:~:text=Iran%E2%80%99s%20Sanctioned%20Oil%20Fleet,https://web.archive.org/web/20260524170008/https://gijn.org/stories/2025-editors-picks-data-journalism/#:~:text=Iran%E2%80%99s%20Sanctioned%20Oil%20Fleet
2024-11-01,Visualising Data by Andy Kirk,Features an excerpt from ‘A visual guide to Eurovision’.,https://visualisingdata.com/book-online-resources/#:~:text=Excerpt%20from%20%E2%80%98A%20visual%20guide%20to%20Eurovision%E2%80%99,https://web.archive.org/web/20260501092407/https://visualisingdata.com/book-online-resources/#:~:text=Excerpt%20from%20%E2%80%98A%20visual%20guide%20to%20Eurovision%E2%80%99
