+ favicon.png  871B → 1.8KB  (-106.0% saved)
+ media\projects\dataviz-gallery\Long waitlists at England's hospitals.jpg  372.8KB → 93.3KB  (75.0% saved)
+ media\projects\dataviz-gallery\Map of Enerhodar city.jpg  922.9KB → 175.7KB  (81.0% saved)
+ media\projects\dataviz-gallery\Mauritius oil spill.jpg  2.2MB → 394.6KB  (82.7% saved)
+ media\projects\dataviz-gallery\Mineral wealth of DRC.jpg  1.6MB → 316.2KB  (81.1% saved)
+ media\projects\dataviz-gallery\Moonshot.jpg  974.9KB → 212.7KB  (78.2% saved)
+ media\projects\dataviz-gallery\Moscow plane crash.jpg  1.2MB → 286.8KB  (77.2% saved)
+ media\projects\dataviz-gallery\Moves in sterling.jpg  564.0KB → 137.2KB  (75.7% saved)
+ media\projects\dataviz-gallery\NATO’s vulnerable eastern flank.jpg  894.7KB → 147.2KB  (83.5% saved)
+ media\projects\dataviz-gallery\Natural gas exported from Russia in 2020.jpg  127.8KB → 30.1KB  (76.4% saved)
+ media\projects\dataviz-gallery\Nigeria protests.jpg  211.5KB → 104.6KB  (50.5% saved)
+ media\projects\dataviz-gallery\Nord Stream 2 sabotage.jpg  683.6KB → 80.1KB  (88.3% saved)
+ media\projects\dataviz-gallery\Pace of COVID-19 vaccinations in India.jpg  373.6KB → 59.2KB  (84.2% saved)
+ media\projects\dataviz-gallery\Palestinians killed in Gaza war.png  161.6KB → 60.7KB  (62.5% saved)
+ media\projects\dataviz-gallery\Path of cyclone Vayu.jpg  590.7KB → 103.3KB  (82.5% saved)
+ media\projects\dataviz-gallery\Population exodus hits new record.jpg  374.8KB → 86.2KB  (77.0% saved)
+ media\projects\dataviz-gallery\Portugal 2019 parliamentary elections.jpg  186.1KB → 49.6KB  (73.3% saved)
+ media\projects\dataviz-gallery\Potential landing sites of Chandrayaan-2.jpg  810.1KB → 385.0KB  (52.5% saved)
+ media\projects\dataviz-gallery\Racism in English football.jpg  308.1KB → 79.6KB  (74.2% saved)
+ media\projects\dataviz-gallery\Reading the Brexit tea leaves.jpg  518.3KB → 125.3KB  (75.8% saved)
+ media\projects\dataviz-gallery\Remembering D-Day.jpg  1.3MB → 308.8KB  (77.3% saved)
+ media\projects\dataviz-gallery\Rosneft's flights to holiday destinations.jpg  477.8KB → 119.1KB  (75.1% saved)
+ media\projects\dataviz-gallery\Rush for COVID-19 vaccinations in India.jpg  235.3KB → 59.4KB  (74.8% saved)
+ media\projects\dataviz-gallery\Russia invades Ukraine.jpg  991.4KB → 162.2KB  (83.6% saved)
+ media\projects\dataviz-gallery\Russia plans to annex Ukrainian regions in the east.jpg  819.4KB → 165.2KB  (79.8% saved)
+ media\projects\dataviz-gallery\Russian control in eastern Ukraine.jpg  1.3MB → 263.8KB  (80.1% saved)
+ media\projects\dataviz-gallery\Russian forces at the edge of Kyiv.jpg  932.5KB → 182.8KB  (80.4% saved)
+ media\projects\dataviz-gallery\Saudi Arabia crude-oil exports.jpg  239.4KB → 39.0KB  (83.7% saved)
+ media\projects\dataviz-gallery\Saudi oil facilities attacked.jpg  959.4KB → 170.8KB  (82.2% saved)
+ media\projects\dataviz-gallery\Successful lunar soft landing sites.jpg  652.8KB → 266.7KB  (59.1% saved)
+ media\projects\dataviz-gallery\Thawing permafrost puts global climate warming in spotlight.jpg  1005.8KB → 162.2KB  (83.9% saved)
